"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"275","cell","n.","細胞、小房間","The scientist looked at the plant cell under a microscope.","科學家在顯微鏡下觀察植物細胞。"
"276","cent","n.","分（貨幣單位，一元的一百一）","An American dollar is equal to one hundred cents.","一美元等於一百美分。"
"277","center","n./v.","中心、焦點；集中","We met at the shopping center in the middle of the city.","我們在市中心的購物中心碰面。"
"278","centimeter","n.","公分","The textbook is about twenty-five centimeters long.","這本教科書大約有 25 公分長。"
"279","central","adj.","中央的、核心的、主要的","The central park is a great place to relax on weekends.","中央公園是週末放鬆的好地方。"
"280","century","n.","世紀、百年","We are currently living in the twenty-first century.","我們目前正生活在 21 世紀。"
"281","cereal","n.","穀物、麥片、麥片粥","I usually have a bowl of cereal with milk for breakfast.","我早餐通常吃一碗麥片加牛奶。"
"282","certain","adj.","確定的、某個、某些","Are you absolutely certain that the library is open today?","你百分之百確定圖書館今天有開門嗎？"
"283","certainly","adv.","無疑地、確實、當然","I will certainly come to your graduation ceremony.","我一定（確實）會去參加你的畢業典禮。"
"284","chair","n./v.","椅子；主持會議","Please take a seat on that comfortable chair.","請在那張舒適的椅子上坐下。"
"285","chairman","n.","主席、董事長、會長","The chairman started the meeting with a warm welcome.","主席以熱烈的歡迎拉開了會議的序幕。"
"286","chalk","n./v.","粉筆；用粉筆寫","The teacher used white chalk to write on the blackboard.","老師用白粉筆在黑板上寫字。"
"287","chance","n.","機會、機運","This is a great chance for you to practice your English.","這是一個讓你練習英文的絕佳機會。"
"288","change","n./v.","零錢、改變；改變、更換","You need to change your wet clothes before you catch a cold.","在你感冒之前，你需要更換你濕透的衣服。"
"289","channel","n.","頻道、海峽、管道","Please turn the TV to channel 5 to watch the news.","請將電視轉到第 5 頻道以觀看新聞。"
"290","chapter","n.","章節","The last chapter of this book is very exciting.","這本書的最後一個章節非常令人興奮。"
"291","character","n.","性格、角色、漢字/字母","He is a man of good character and always helps others.","他是一個性格很好且總是幫助別人的人。"
"292","charge","n./v.","費用、責任、控訴；收費、充電、指控","There is no extra charge for delivery if you buy online.","如果您在網上購買，不需要支付額外的運費。"
"293","chart","n./v.","圖表、航海圖；繪製圖表","The sales chart shows that our business is growing well.","銷售圖表顯示我們的生意發展得很好。"
"294","chase","n./v.","追逐、追捕、驅逐","The puppy loves to chase birds in the garden.","小狗喜歡在花園裡追逐鳥類。"
"295","cheap","adj.","便宜的、廉價的","These fresh apples are very cheap at the market today.","這些新鮮蘋果今天在市場上非常便宜。"
"296","cheat","v.","作弊、欺騙","It is wrong to cheat on exams or games.","在考試或遊戲中作弊是不對的。"
"297","check","n./v.","支票、檢查、買單；檢查、控制","Please check your answers carefully before submitting the test.","交卷前請仔細檢查你的答案。"
"298","cheer","n./v.","歡呼、喝采、高興；振奮、慶祝","The crowd began to cheer when their team scored a goal.","當他們的隊伍得分時，群眾開始歡呼。"
"299","cheese","n.","起司、乾酪","I ordered a delicious ham and cheese sandwich.","我點了一份美味的火腿起司三明治。"
"300","chemical","n./adj.","化學製品、化學藥品；化學的","Some cleaning products contain strong chemicals.","一些清潔產品含有強烈的化學物質。"
"301","chess","n.","西洋棋","My grandfather taught me how to play chess when I was young.","我祖父在我小的時候教我怎麼下西洋棋。"
"302","club","n./v.","俱樂部、社團；聯合、募集","She joined the English club to improve her speaking skills.","她加入了英文社團以提升她的口說能力。"
"303","coach","n./v.","教練、長途巴士、車廂；指導","The soccer coach yelled instructions to the players on the field.","足球教練向球場上的球員們大聲喊出指令。"
"304","coast","n.","海岸、沿海地區","We took a relaxing walk along the beautiful Pacific coast.","我們沿著美麗的太平洋海岸輕鬆地散步。"
"305","cockroach","n.","蟑螂","She screamed when she suddenly saw a big cockroach on the wall.","當她突然看到牆上有一隻大蟑螂時，她尖叫了。"
"306","coffee","n.","咖啡","He usually drinks a cup of black coffee without sugar every morning.","他通常每天早上喝一杯不加糖的黑咖啡。"
"307","coin","n./v.","硬幣；鑄造、創造（新詞）","I found a ten-dollar coin under the living room sofa.","我在客廳沙發下面找到了一枚十元硬幣。"
"308","coke","n.","可樂","Would you like to have some ice-cold coke with your pizza?","你吃披薩時想喝點冰鎮可樂嗎？"
"309","cold","adj./n.","寒冷的、冷淡的；感冒、寒冷","Remember to wear a heavy jacket because it is very cold outside.","記得穿一件厚外套，因為外面非常冷。"
"310","collect","v.","收集、採集、收費","My brother loves to collect rare postage stamps from different countries.","我弟弟喜歡收集來自不同國家的稀有郵票。"
"311","collection","n.","收藏品、收集","The museum has an amazing collection of ancient oil paintings.","這家博物館擁有令人驚嘆的古代油畫收藏。"
"312","college","n.","大學、學院","She plans to study business management when she goes to college.","她計畫上大學時學習企業管理。"
"313","color","n./v.","顏色；著色","Blue is my favorite color because it reminds me of the sea.","藍色是我最喜歡的顏色，因為它讓我想起大海。"
"314","colorful","adj.","五彩繽紛的、多采多姿的","The garden is filled with beautiful and colorful autumn flowers.","花園裡開滿了美麗且五彩繽紛的秋季花朵。"
"315","comb","n./v.","梳子；梳頭髮","She used a plastic comb to tidy up her long hair.","她用一把塑膠梳子整理她的長髮。"
"316","come","v.","來、來到、變成","Please come to my office when you are free this afternoon.","今天下午你有空時請來我的辦公室。"
"317","comic","adj./n.","連環漫畫、喜劇的；漫畫書","The little boy enjoys reading funny Japanese comic books after school.","這個小男孩放學後喜歡看搞笑的日本漫畫書。"
"318","command","n./v.","命令、指揮、掌握","The army soldiers must follow the captain's clear command.","陸軍士兵們必須服從船長（上尉）清晰的命令。"
"319","comment","n./v.","評論、意見；發表評論","He decided not to make any comment on the political news.","他決定不對那則政治新聞發表任何評論。"
"320","common","adj./n.","常見的、普遍的、共同的；共同點","Cold and flu are very common health problems during the winter.","感冒和流感是冬季非常常見的健康問題。"
"321","company","n.","公司、陪伴、同伴","My father works for a major international technology company.","我父親在一家大型國際科技公司工作。"
"322","compare","n./v.","比較、對照","If you compare these two mobile phones, this one has a better camera.","如果你比較這兩款手機，這款的相機更好。"
"323","complain","v.","抱怨、發牢騷","They always complain about the bad service in that restaurant.","他們總是抱怨那家餐廳的糟糕服務。"
"324","complete","v./adj.","完成；完全的、完整的","You must complete the registration form before next Friday.","您必須在下週五之前填好（完成）這張註冊表格。"
"325","computer","n.","電腦","Most of the employees use a desktop computer to complete their work.","大多數員工使用桌上型電腦來完成他們的工作。"
"326","concern","n./v.","關心、關切的事、關係；使關心、與...有關","The heavy pollution in the city caused great concern among citizens.","城市裡嚴重的污染引起了市民們的極大關注。"
"327","confident","adj.","有信心的、自信的","She feels confident that she will pass the English proficiency test.","她很有信心自己能通過這次的英文檢定考試。"
"328","confirm","v.","確認、證實","Please call the hotel to confirm your room reservation tonight.","請打電話給飯店以確認您今晚的房間預訂。"
"329","conflict","n./v.","衝突、矛盾、爭執","The two neighboring countries resolved their conflict through peace talks.","這兩個鄰國透過和平談判解決了他們的衝突。"
"330","consider","v.","考慮、認為","You should carefully consider his advice before making a final decision.","在做出最終決定之前，你應該仔細考慮他的建議。"
"331","contact","n./v.","接觸、聯絡","You can contact me by phone or email if you have any questions.","如果你有任何問題，可以透過電話或電子郵件聯絡我。"
"332","contain","v.","包含、容納","This bottle of fresh juice does not contain any added sugar.","這瓶鮮果汁不包含任何添加糖。"
"333","continue","v.","繼續","Although it started to rain, they decided to continue their soccer game.","雖然開始下雨了，他們還是決定繼續他們的足球比賽。"
"334","contract","n./v.","契約、合約；收縮","Please read all the terms carefully before signing the contract.","在簽訂合約之前，請仔細閱讀所有條款。"
"335","control","n./v.","控制、操縱","The pilot managed to keep control of the plane during the storm.","飛行員在暴風雨中成功保持了對飛機的控制。"
